@relation 'dataset_tajo_m2-weka.filters.unsupervised.attribute.MathExpression-Elog(A + 1) / log(10)-R22'

@attribute LOC numeric
@attribute NSMELLS numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute CHURN numeric
@attribute AVG_CHURN numeric
@attribute NR numeric
@attribute NFIX numeric
@attribute FIX_RATE numeric
@attribute NAUTH numeric
@attribute AVG_CHANGE_SET numeric
@attribute MAX_CHANGE_SET numeric
@attribute AVG_ND numeric
@attribute AGE_LAST_CHANGE numeric
@attribute MIN_EXP numeric
@attribute NUM_METHODS numeric
@attribute DIT numeric
@attribute RFC numeric
@attribute FAN_IN numeric
@attribute FAN_OUT numeric
@attribute CC numeric
@attribute BUGGY {no,yes}

@data
2.037426,0.845098,2.649335,2.103804,2.867467,1.556905,1.342423,0.60206,0.056905,0.69897,2.266608,2.951823,1.628593,1.672098,1.041393,1.230449,0.30103,1.462398,0.778151,1.113943,1.361728,yes
2.017033,0.90309,2.503791,2.40654,2.696356,1.799341,0.954243,0.477121,0.09691,0.477121,2.579361,2.951823,1.89003,2.017033,2.103804,1.20412,0.30103,1.544068,0.845098,0.954243,1.255273,no
1.716003,0.69897,1.939519,1.939519,1.973128,1.50515,0.60206,0,0,0.30103,2.014226,2.10721,1.50515,1.380211,2.103804,0.845098,0.30103,1.079181,0.69897,1.30103,0.954243,no
1.50515,0,1.973128,1.716003,2.120574,1.19201,1,0,0,0.60206,2.56017,2.951823,1.872506,1.968483,2.103804,0.477121,0.30103,1.113943,0.30103,0.90309,0.69897,no
1.477121,0.30103,1.716003,1.230449,2.021189,1.146128,0.954243,0,0,0.60206,2.519171,2.951823,1.865578,1.342423,1.255273,0.477121,0.30103,1.113943,0.30103,0.954243,0.60206,no
2.029384,0.69897,2.482874,2.068186,2.661813,1.378398,1.322219,0.69897,0.079181,0.69897,2.287802,2.951823,1.649821,1.672098,1.50515,1.255273,0.30103,1.361728,0.69897,1,1.462398,no
2.294466,1.176091,2.755875,2.206826,2.941014,1.425697,1.544068,0.954243,0.093422,0.69897,2.137544,2.951823,1.537819,1.672098,1.255273,1.431364,0.30103,1.70757,0.60206,1.176091,1.716003,no
1.869232,0.60206,2.120574,1.838849,2.167317,1.480007,0.778151,0,0,0.477121,2.677242,2.951823,1.999131,1.755875,2.103804,1.146128,0.30103,1.146128,0.30103,0.90309,1.20412,no
2.103804,0.778151,2.556303,2.152288,2.737193,1.63266,1.146128,0.477121,0.060698,0.477121,2.394994,2.951823,1.737352,1.380211,2.103804,1.30103,0.30103,1.568202,0.30103,1.079181,1.491362,no
1.819544,0.778151,2.113943,1.968483,2.181844,1.417804,0.845098,0,0,0.60206,2.676849,2.951823,1.973128,2.149219,2.103804,1.176091,0.30103,0.954243,0.30103,0.69897,1.20412,no
1.973128,0.90309,2.292256,1.60206,2.414973,1.261739,1.20412,0.60206,0.079181,0.60206,2.352318,2.951823,1.71265,1.380211,1.041393,0.60206,0.30103,1.633468,0.30103,0.90309,1.414973,yes
1.986772,0.845098,2.276462,2.103804,2.38739,1.496653,0.954243,0.30103,0.053078,0.60206,2.574182,2.951823,1.88224,2.017033,2.103804,1.146128,0.30103,1.39794,0.477121,1,1.414973,no
